Designator,Mid X,Mid Y,Rotation,Layer
BT1,114.0,-130.015,270.0,top
C1,114.0,-150.097349,270.0,top
D3,183.0,-79.73,90.0,top
D4,183.0,-109.73,90.0,top
D5,183.0,-140.73,90.0,top
Q3,163.0,-75.365,180.0,top
Q4,163.73,-87.635,180.0,top
Q5,163.73,-104.635,180.0,top
Q6,164.0,-115.365,180.0,top
Q7,163.73,-134.635,180.0,top
Q8,164.0,-144.905,180.0,top
R10,154.81,-67.0,0.0,top
R11,124.81,-96.0,0.0,top
R12,139.81,-96.0,0.0,top
R13,154.81,-96.0,0.0,top
R14,132.81,-132.0,0.0,top
R15,132.81,-143.0,0.0,top
R16,147.81,-127.0,0.0,top
R17,161.0,-127.0,0.0,top
R2,124.81,-72.0,0.0,top
R3,124.81,-84.0,0.0,top
R4,125.0,-102.0,0.0,top
R5,124.81,-114.0,0.0,top
R6,115.0,-85.0,270.0,top
R7,124.81,-67.0,0.0,top
R8,132.81,-127.0,0.0,top
R9,139.81,-67.0,0.0,top
RV1,115.27,-106.46,0.0,top
SW1,145.0,-74.0,0.0,top
SW2,145.0,-86.0,0.0,top
SW3,144.75,-103.75,0.0,top
SW4,144.75,-115.75,0.0,top
SW5,144.75,-133.75,0.0,top
SW6,144.75,-145.75,0.0,top
